City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
port-gentil,75,GA,1624738936,83,-0.7193,8.7815,76.96,10.36
porto seguro,40,BR,1624738936,57,-16.4497,-39.0647,75.72,8.05
vuktyl,100,RU,1624738937,83,63.8567,57.3094,57.7,2.48
lively,100,CA,1624738759,83,46.4334,-81.1498,72.52,8.61
kailua,20,US,1624738710,57,21.4022,-157.7394,85.06,6.91
faridabad,1,IN,1624738747,40,28.4333,77.3167,94.48,5.5
tezu,100,IN,1624738938,99,27.9167,96.1667,76.57,2.21
east london,4,ZA,1624738938,65,-33.0153,27.9116,59.7,14.79
iqaluit,75,CA,1624738938,70,63.7506,-68.5145,40.73,8.01
cherskiy,100,RU,1624738939,38,68.75,161.3,68.14,6.02
anahuac,55,MX,1624738939,24,27.2333,-100.15,98.1,21.18
whitehorse,75,CA,1624738940,46,60.7161,-135.0538,70.57,11.99
butaritari,100,KI,1624738940,79,3.0707,172.7902,81.21,12.93
yeysk,44,RU,1624738941,82,46.6989,38.2792,71.96,7.99
cayenne,20,GF,1624738880,76,4.9333,-52.3333,86.04,5.01
dikson,20,RU,1624738941,87,73.5069,80.5464,32.32,2.24
punta arenas,0,CL,1624738942,81,-53.15,-70.9167,39.31,6.91
namibe,31,AO,1624738942,84,-15.1961,12.1522,67.6,4.45
gucheng,20,CN,1624738943,55,35.9115,111.3192,77.85,3.11
brae,100,GB,1624738943,80,60.3964,-1.353,51.71,12.75
tlapacoyan,82,MX,1624738943,68,19.9667,-97.2167,83.62,5.61
beloha,4,MG,1624738944,79,-25.1667,45.05,63.93,3.98
bengkulu,37,ID,1624738944,90,-3.8004,102.2655,74.84,4.03
jacareacanga,85,BR,1624738945,43,-6.2222,-57.7528,90.55,1.88
vila franca do campo,60,PT,1624738811,88,37.7167,-25.4333,68.41,10.04
ixtapa,75,MX,1624738945,62,20.7,-105.2,86.23,6.91
ancud,6,CL,1624738946,70,-41.8697,-73.8203,47.73,5.46
esperance,0,AU,1624738946,61,-33.8667,121.9,50.99,15.43
santa ana,1,US,1624738672,55,33.7456,-117.8678,101.05,1.01
vilhena,40,BR,1624738946,48,-12.7406,-60.1458,86.22,9.22
gamba,84,GA,1624738947,94,-2.65,10.0,72.39,5.64
katsuura,100,JP,1624738947,83,35.1333,140.3,74.1,8.66
nichinan,100,JP,1624738948,96,31.6,131.3667,68.76,7.34
gold coast,100,AU,1624738942,74,-28.0,153.4333,55.0,1.99
terra santa,51,BR,1624738948,53,-2.1042,-56.4869,87.51,4.25
westport,90,US,1624738949,80,41.1415,-73.3579,83.08,1.01
nanortalik,99,GL,1624738949,87,60.1432,-45.2371,47.66,2.21
lompoc,20,US,1624738801,76,34.6391,-120.4579,93.22,19.57
qaanaaq,12,GL,1624738950,72,77.484,-69.3632,40.57,4.27
tasiilaq,4,GL,1624738950,61,65.6145,-37.6368,51.96,7.4
te anau,100,NZ,1624738950,92,-45.4167,167.7167,45.63,3.27
salalah,100,OM,1624738951,86,17.0151,54.0924,79.97,6.24
pivijay,89,CO,1624738951,56,10.4617,-74.6162,87.89,4.16
port blair,100,IN,1624738664,76,11.6667,92.75,81.25,9.69
beira,20,MZ,1624738836,100,-19.8436,34.8389,66.29,5.75
lagoa,34,PT,1624738952,76,39.05,-27.9833,67.12,10.22
huanren,100,CN,1624738952,99,41.2647,125.3667,62.44,2.48
carbonia,0,IT,1624738953,66,39.1672,8.5222,75.85,4.5
abnub,0,EG,1624738954,23,27.2696,31.1511,88.02,7.36
arraial do cabo,0,BR,1624738954,73,-22.9661,-42.0278,73.36,16.11
